"identificador";"nome";"avaliacao"
FCT;International Symposium on Fundamentals of Computation Theory;B2
LSFA;Workshop on Logical and Semantic Frameworks, with Applications;B4
CLIHC;Latin American Conference on Human Computer Interaction;B3
ISWPC;International Symposium on Wireless and Pervasive Computing;B3
VPQM;International Workshop on Video Processing and Quality Metrics for Consumer Electronics;B3
BIATA;Bioinformatics: from Algorithms to Applications;B3
FECS-WS;International Conference on Frontiers in Education: Computer Science and Computer Engineering;B3
ICAS-IARIA;IARIA International Conference on Autonomic and Autonomous Systems;B3
SEARIS;Workshop on Software Engineering and Architectures for Realtime Interactive Systems;B3
"13807501";MULTIMEDIA TOOLS AND APPLICATIONS;A2
SISAP;nternational Conference on Similarity Search and Applications;B2
ETRA;Biennial ACM Symposium on Eye Tracking Research & Applications;A4
"13892576";GENETIC PROGRAMMING AND EVOLVABLE MACHINES;A3
"15399087";ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS;A4
"1369118X";INFORMATION, COMMUNICATION & SOCIETY;A1
CHIPlay;ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play;A3
"09168532";IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS;B2
WRLA;International Workshop on Rewriting Logic and its Applications;B2
ASONAM;IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining;A2
UbiComp;ACM International Joint Conference on Pervasive and Ubiquitous Computing;A1
ICSE;International Conference on Software Engineering;A1
AES;International Convention of the Audio Engineering Society;B3
"13837621";JOURNAL OF SYSTEMS ARCHITECTURE;A4
NetSys;International Conference on Networked Systems;B1
ITCS;Conference on Innovations in Theoretical Computer Science;A2
"2192113X";JOURNAL OF CLOUD COMPUTING: ADVANCES, SYSTEMS AND APPLICATIONS;A2
"23170026";CADERNOS DE PROSPECÇÃO;nulo
MED;Mediterranean Conference on Control and Automation;A4
CISRC;Cyber Security and Information Intelligence Research Workshop;B2
PG;Pacific Conference on Computer Graphics and Applications;A1
"13835416";INTERNATIONAL JOURNAL OF APPLIED ELECTROMAGNETICS AND MECHANICS;B1
NAACL;North American Chapter of the Association for Computational Linguistics Annual Meeting;A1
"08954801";SIAM JOURNAL ON DISCRETE MATHEMATICS (PRINT);A3
IV;International Conference on Information Visualization;A4
IEEE IST;IEEE International Conference on Imaging Systems and Techniques;B1
"19818920";INFORMAÇÃO & INFORMAÇÃO;nulo
"13960466";FIRST MONDAY (ONLINE);A4
"15566013";IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY;A1
"18926753";TECNO-LÓGICA (SANTA CRUZ DO SUL . ONLINE);nulo
"15443574";COMPUTERS IN ENTERTAINMENT (CIE);B1
L@S;ACM Conference on Learning @ Scale;B2
EGOV-CEDEM-EPART;International Conference on Electronic Government/International Conference for E-Democracy and Open Government;A4
"08873585";PROTEINS (PRINT);A3
"13892029";CURRENT GENOMICS;B1
"10542523";MEDICINAL CHEMISTRY RESEARCH (PRINT);A2
"25254782";REVISTA MUNDI ENGENHARIA, TECNOLOGIA E GESTÃO;nulo
AAAI;Conference on Artificial Intelligence;A1
"22378707";TEORIA E PRÁTICA DA EDUCAÇÃO;nulo
"17418410";INTERNATIONAL JOURNAL OF MICROSTRUCTURE AND MATERIALS PROPERTIES (PRINT);B3
SPIE;SPIE - The International Society for Optical Engineering;A3
"19402503";COMPUTATIONAL THERMAL SCIENCES;B1
"19806574";MOTRIZ - REVISTA DE EDUCAÇÃO FÍSICA - UNESP;B2
CIG;IEEE Conference on Computational Intelligence and Games;A2
"02635747";ROBOTICA (CAMBRIDGE. PRINT);A1
"1077260X";IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS;A1
"02664720";EXPERT SYSTEMS;A3
"10848045";JOURNAL OF NETWORK AND COMPUTER APPLICATIONS;A1
"19822065";REVISTA DA CIÊNCIA DA ADMINISTRAÇÃO (RECIFE);nulo
ICS;International Conference on Supercomputing;A2
"03401200";BIOLOGICAL CYBERNETICS;A3
"15213250";EMERGENCE (MAHWAH, N.J.);B2
IPEC;International Symposium on Parameterized and Exact Computation;B1
"0167739X";FUTURE GENERATION COMPUTER SYSTEMS;A1
SAICC;Science and Information Conference;A4
NABIC;World Congress on Nature and Biologically Inspired Computing;B2
IOTCC;International Conference on Internet of things, Data and Cloud Computing;B2
HASE;IEEE International Symposium on High Assurance Systems Engineering;A4
"2378962X";ACM TRANSACTIONS ON CYBER-PHYSICAL SYSTEMS;A3
"20501242";NETWORK SCIENCE;A2
SODA;ACM-SIAM Symposium on Discrete Algorithms;A1
COMPUTEC;SEMINÁRIO DE COMPUTAÇÃO E MERCADO;B4
ISM;IEEE International Symposium on Multimedia;A3
"22273026";PROCEEDINGS OF THE ASIA-PACIFIC ADVANCED NETWORK;nulo
IDC;International Symposium on Intelligent Distributed Computing;B2
ICAIWC;International Conference on Artificial Intelligence;B3
"00295981";INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING (PRINT);A1
"21678359";PEERJ;A2
"19834217";REVISTA BRASILEIRA DE REDES DE COMPUTADORES E SISTEMAS DISTRIBUÍDOS;nulo
ECMDAFA;European Conference on Modelling Foundations and Applications;B1
ICFEM;International Conference on Formal Engineering Methods;A4
SEKE;International Conference on Software Engineering and Knowledge Engineering;B1
"03781119";GENE (AMSTERDAM);A4
"22381171";REVISTA DE CIÊNCIAS AGROVETERINÁRIAS;B3
"17938244";JOURNAL OF ADVANCES IN COMPUTER NETWORKS;nulo
OR;International Conference on Operations Research;B3
"09254005";SENSORS AND ACTUATORS. B, CHEMICAL;A1
VTC;Vehicular Technology Conference;A1
"23636203";MODELING EARTH SYSTEMS AND ENVIRONMENT;nulo
CSL;Conference for Computer Science Logic;A3
HT;ACM Conference on Hypertext and Social Media;A3
"21568359";INTERNATIONAL JOURNAL OF GEOSCIENCES;nulo
LA-CCI;CI - Latin American Conference on Computational Intelligence;B4
IMS3TW;Annual International Mixed-Signals, Sensors and Systems Test Workshop;B4
MEDIAN;Workshop On Manufacturable and Dependable Multicore Architectures at Nanoscale;B4
"03085961";TELECOMMUNICATIONS POLICY;A2
ITS;International Conference on Intelligent Tutoring Systems;A3
"19805160";S & G. SISTEMAS & GESTÃO;nulo
"14485869";INTERNATIONAL JOURNAL OF HYBRID INTELLIGENT SYSTEMS;nulo
"02193116";KNOWLEDGE AND INFORMATION SYSTEMS (ELECTRONIC RESOURCE);A2
"22365435";REVISTA TERAPIA MANUAL;nulo
"00224715";JOURNAL OF STATISTICAL PHYSICS;A3
SIMPAR;IEEE International Conference on Simulation, Modeling, and Programming for Autonomous Robots;B3
MDM;IEEE International Conference on Mobile Data Management;A3
"15182924";ENCONTROS BIBLI;nulo
"1381298X";COMPUTATIONAL AND MATHEMATICAL ORGANIZATION THEORY;A3
"03784754";MATHEMATICS AND COMPUTERS IN SIMULATION (PRINT);A3
VAST;IEEE Conference on Visual Analytics Science and Technology;A3
"13598368";COMPOSITES. PART B, ENGINEERING;A1
"10960848";JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING;A2
ICOMPWC;International Conference on Internet Computing and Internet of Things;B2
MODULARITY;International Conference on Modularity;B1
ACM TVX;International Conference on Experiences for TV and Online Video;A3
"19297750";JOURNAL OF LEARNING ANALYTICS;B1
ICCS;International Conference on Computational Science;B2
ICIDS;International Conference on Interactive Digital Storytelling;A3
"00218693";JOURNAL OF ALGEBRA (PRINT);A4
"15309827";JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING;A3
"18093469";FISIOTERAPIA SER;nulo
ICSTV;IEEE International Conference on Software Testing, Verification and Validation;A2
SOSR;Symposium on Software Defined Networking Research;A3
MOBILEHCI;International Conference on Human-Computer Interaction with Mobile Devices and Services Adjunct;A2
FASE;International Conference on Fundamental Approaches to Software Engineering;A3
"16845315";AFRICAN JOURNAL OF BIOTECHNOLOGY;nulo
WOSP;International Workshop on Mining Scientific Publications;B4
SEFM;International Conference on Software Engineering and Formal Methods;A3
"24467634";REVISTA ELETRÔNICA ARGENTINA-BRASIL DE TECNOLOGIAS DA INFORMAÇÃO E DA COMUNICAÇÃO;nulo
IFAC;World Congress of the International Federation of Automatic Control;A2
"01044230";REVISTA DA ASSOCIAÇÃO MÉDICA BRASILEIRA;A4
BRACIS;Brazilian Conference on Intelligent System;A4
"02628856";IMAGE AND VISION COMPUTING;A2
ISORC;IEEE International Symposium on RealTime Distributed Computing;A3
CANS;International Conference on Cryptology and Network Security;A3
"01003364";INFORME AGROPECUÁRIO (BELO HORIZONTE);nulo
"18068405";RBPG. REVISTA BRASILEIRA DE PÓS-GRADUAÇÃO;nulo
"19322232";ACM COMMUNICATIONS IN COMPUTER ALGEBRA;B4
SCSC;Summer Computer Simulation Conference;B3
COIN;International Workshop on Coordination, Organisations, Institutions and Norms;B4
nulo;COMPUTAÇÃO BRASIL;C
"17580463";DATABASE: THE JOURNAL OF BIOLOGICAL DATABASES AND CURATION;A1
"15728153";MOBILE NETWORKS AND APPLICATIONS;A2
"18695450";SOCIAL NETWORK ANALYSIS AND MINING;A2
DAC;Design Automation Conference;A1
ICANN;International Conference on Artificial Neural Networks;B1
"23169036";REVISTA USP;nulo
TLCA;International Conference on Typed Lambda Calculi and Applications;B2
ICL;International Conference on Interactive Collaborative Learning;B3
"00207543";INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH (PRINT);A1
VAMR;International Conference on Virtual, Augmented and Mixed Reality;A4
SSIAI;Southwest Symposium on Image Analysis and Interpretation;B2
"23013559";LECTURE NOTES ON SOFTWARE ENGINEERING;nulo
M4IOT;Workshop on Middleware for Context-Aware Applications in the IoT;B3
DAFX;International Conference on Digital Audio Effects;B1
"03610918";COMMUNICATIONS IN STATISTICS. SIMULATION AND COMPUTATION;B1
"16124782";COGNITIVE PROCESSING (PRINT);B1
GLOBALSIP;Global Conference on Signal and Information Processing;A2
"16770323";FLF.EDU;nulo
VLDB;International Conference on Very Large Data Bases;A1
"17591163";INTERNATIONAL JOURNAL OF DATA MINING, MODELLING AND MANAGEMENT;B1
HCSE;International Working Conference on Human-Centred Software Engineering;B4
"20277040";IBEROAMERICAN JOURNAL OF PROJECT MANAGEMENT (IJOPM);nulo
"1476072X";INTERNATIONAL JOURNAL OF HEALTH GEOGRAPHICS;A1
UMAP;International Conference on User Modeling, Adaptation and Personalization;A3
"1860949X";STUDIES IN COMPUTATIONAL INTELLIGENCE;B3
"00983063";IEEE TRANSACTIONS ON CONSUMER ELECTRONICS;A2
ISMM;International Symposium on Mathematical Morphology;A4
"10547460";PRESENCE (CAMBRIDGE, MASS.);A4
VMV;Vision, Modeling & Visualization;B2
"17494680";COMPUTATIONAL SCIENCE & DISCOVERY;A1
"23274662";IEEE INTERNET OF THINGS JOURNAL;A1
"20520344";LATIN AMERICAN JOURNAL OF MANAGEMENT FOR SUSTAINABLE DEVELOPMENT;nulo
"21782229";CADERNOS DE PESQUISA;nulo
"14748185";INTERNATIONAL JOURNAL OF PERFORMANCE ANALYSIS IN SPORT;A3
ACRA;Australasian Conference on Robotics and Automation;B3
ROBOCUP;Robocup International Symposium;A4
MS;IEEE International Conference on Mobile Services;B1
"10447318";INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION;A3
"16788060";MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (ONLINE);A4
"16625188";FRONTIERS IN COMPUTATIONAL NEUROSCIENCE;A3
"09758887";INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS;nulo
"22365044";REVISTA ELETRÔNICA DE INICIAÇÃO CIENTÍFICA;nulo
"24466204";CADERNO DE ESTUDOS EM SISTEMAS DE INFORMAÇÃO;nulo
CobRA;International Workshop on Exploring Component-based Techniques for Constructing Reference Architectures;B4
SBCUP;Simpósio Brasileiro de Computação Ubíqua e Pervasiva;B4
"14712407";BMC CANCER (ONLINE);A3
"00222860";JOURNAL OF MOLECULAR STRUCTURE (PRINT);A3
"10675027";JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION;A1
RECONFIG;International Conference on Reconfigurable Computing and FPGAs;B1
ITHET;International Conference on Information Technology Based Higher Education and Training;B2
SET;Software Engineering Track;B2
"18061117";REVISTA BRASILEIRA DE ENSINO DE FÍSICA (IMPRESSO);nulo
MEDES;International Conference on Management of Emergent Digital EcoSystems;B2
"12136972";JOURNAL OF WSCG (PLZEN, PRINT);B3
ICDM;IEEE International Conference on Data Mining;A1
STACS;Symposium on Theoretical Aspects of Computer Science;A3
BPM;International Conference on Business Process Management;A2
TAROS;Conference Towards Autonomous Robotics Systems;B2
"19805918";FISIOTERAPIA EM MOVIMENTO;nulo
"23523409";DATA IN BRIEF;A3
"15882861";SCIENTOMETRICS (ONLINE);A1
"1537744X";THE SCIENTIFIC WORLD JOURNAL;A3
ASPLOS;International Conference on Architectural Support for Programming Languages and Operating Systems;A1
ICIAR;International Conference on Image Analysis and Recognition;B1
"16074041";REVISTA ELECTRÓNICA DE INVESTIGACIÓN EDUCATIVA;B1
"18093957";REVISTA SODEBRAS;nulo
"15591131";ACM TRANSACTIONS ON THE WEB;A2
MANSDNNFV;International Workshop on Management of SDN and NFV Systems;B4
"21698287";GENOME ANNOUNCEMENTS;B3
"08940282";MOLECULAR PLANT-MICROBE INTERACTIONS;A1
"22964185";FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY;A4
WFCS;IEEE World Conference on Factory Communication Systems;B1
IMCOM;International Conference on Ubiquitous Information Management and Communication;A4
"21754411";JOURNAL OF HEALTH INFORMATICS;nulo
RANLP;International Conference on Recent Advances in Natural Language Processing;A4
"21576904";ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY;A1
"16079264";JOURNAL OF INTERNET TECHNOLOGY;B2
WAOA;Workshop on Approximation and Online Algorithms;B2
"17489725";JOURNAL OF LOCATION BASED SERVICES (PRINT);A4
"15541010";JOURNAL OF INFORMATION ASSURANCE AND SECURITY;nulo
"21765634";JORNAL INTERNACIONAL DE ESTUDOS EM EDUCAÇÃO MATEMÁTICA;nulo
"07403224";JOURNAL OF THE OPTICAL SOCIETY OF AMERICA. B, OPTICAL PHYSICS;A3
KES;International Conference on Knowledge-Based and Intelligent Information & Engineering Systems;B4
"15309304";EVOLUTIONARY COMPUTATION (ONLINE);A1
SC;International Conference for High Performance Computing, Networking, Storage and Analysis;A1
"22555706";IEEE REVISTA IBEROAMERICANA DE TECNOLOGIAS DEL APRENDIZAJE - VERSIÓN ABIERTA ESPAÑOL-PORTUGUÉS;nulo
MSN;International Conference on Mobile Ad-Hoc and Sensor Networks;B1
"02182130";INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS;B2
"1364503X";PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A: MATHEMATICAL, PHYSICAL AND ENGINEERING SCIENCES;A1
SGP;Eurographics Symposium on Geometry Processing;A1
"18631703";SIGNAL, IMAGE AND VIDEO PROCESSING (PRINT);A3
DS;International Conference on Discovery Science;B2
"00189294";IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING (PRINT);A1
CAD;International CAD Conference;B2
XP;International Conference on Agile Software Development;A3
IEEE NANO;IEEE Conference on Nanotechnology;B2
"1536125X";IEEE TRANSACTIONS ON NANOTECHNOLOGY;A3
AMW;Alberto Mendelzon International Workshop on Foundations of Data Management;B2
"14712377";BMC NEUROLOGY (ONLINE);A4
"01034308";REVISTA DE INFORMÁTICA TEÓRICA E APLICADA (IMPRESSO);B4
"22106502";SWARM AND EVOLUTIONARY COMPUTATION;A1
eKNOW;IARIA International Conference on Information, Process, and Knowledge Management;B4
MCSoC;International Symposium on Embedded Multicore/Many-core Systems-on-Chip;B3
"20760329";NETWORKING SCIENCE;nulo
WISA;International Conferen ce on Information Security Applications;B2
SBIAGRO;Congresso Brasileiro de Agroinformática;B4
"14355558";COGNITION, TECHNOLOGY & WORK (PRINT);A1
CC;International Conference on Compiler Construction;A4
IAAI;International Conference of the Italian Association for Artificial Intelligence;B4
"16874196";INTERNATIONAL JOURNAL OF BIOMEDICAL IMAGING;A2
"11769351";CANCER INFORMATICS;B2
SBLP;Brazilian Symposium on Programming Languages;A4
REM;Workshop on Reactivity, Events and Modularity;B4
SIIE;Simpósio Internacional de Informática Educatica;B2
"16790375";SEMINA. CIÊNCIAS EXATAS E TECNOLÓGICAS (ONLINE);nulo
"1695288X";REVISTA LATINOAMERICANA DE TECNOLOGÍA EDUCATIVA;nulo
"03029743";LECTURE NOTES IN COMPUTER SCIENCE;A4
"14726947";BMC MEDICAL INFORMATICS AND DECISION MAKING (ONLINE);A2
ISW;Information Security Conference;A4
"16875869";INTERNATIONAL JOURNAL OF ANTENNAS AND PROPAGATION (PRINT);A4
"00333506";PUBLIC HEALTH (LONDON);A3
"22382380";REVISTA DE EDUCAÇÃO, CIÊNCIAS E MATEMÁTICA;nulo
"09235965";SIGNAL PROCESSING. IMAGE COMMUNICATION;A2
"19328184";IEEE SYSTEMS JOURNAL;A1
ICME;IEEE International Conference on Multimedia and Expo;A2
LICS;IEEE Symposium on Logic in Computer Science;A3
"18770428";PROCEDIA: SOCIAL AND BEHAVIORAL SCIENCES;nulo
OSDI;USENIX Symposium on Operating Systems Design and Implementation;A1
"19324553";IEEE JOURNAL OF SELECTED TOPICS IN SIGNAL PROCESSING;A1
"03610926";COMMUNICATIONS IN STATISTICS. THEORY AND METHODS;B2
"13658816";INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE (PRINT);A1
ICB;International Conference on Biometrics;A3
"17425468";JOURNAL OF STATISTICAL MECHANICS;A1
"16875443";NEURAL PLASTICITY (ONLINE);A2
"10773142";COMPUTER VISION AND IMAGE UNDERSTANDING (PRINT);A1
"01027972";PSICOLOGIA: REFLEXÃO E CRÍTICA (UFRGS. IMPRESSO);B1
SSDBM;International Conference on Scientific and Statistical Database Management;A3
"21684944";INTERNATIONAL JOURNAL OF NETWORKS AND COMMUNICATIONS;nulo
ICIC;International Conference on Intelligent Computing;B2
"22363297";SBC JOURNAL ON 3D INTERACTIVE SYSTEMS;B2
IISWC;IEEE International Symposium on Workload Characterization;A3
"11345764";TOP;A2
ICSR;International Conference on Software Reuse;B1
VTS;IEEE VLSI Test Symposium;A4
IPSN;International Conference on Information Processing in Sensor Networks;A2
"02883635";NEW GENERATION COMPUTING;B1
"16795350";REVISTA DE ADMINISTRAÇÃO DA UNIMEP;nulo
"19820801";CIENTÍFICA CET-FAESA;nulo
"01679260";INTEGRATION (AMSTERDAM. PRINT);A4
"01676377";OPERATIONS RESEARCH LETTERS;A4
"09410643";NEURAL COMPUTING & APPLICATIONS;A2
"21693536";IEEE ACCESS;A2
MABS;International Workshop on Multi-Agent Based Simulation;B2
"20524897";BMJ OPEN DIABETES RESEARCH & CARE;A3
ICIW-IARIA;IARIA International Conference on Internet and Web Applications and Services;B4
VR;IEEE Virtual Reality Conference;A3
"15523098";IEEE TRANSACTIONS ON ROBOTICS;A1
CIDI;Congresso Internacional de Design da Informação;B4
ICORES;International Conference on Operations Research and Enterprise Systems;B4
SBrT;Simpósio Brasileiro de Telecomunicações e Processamento de Sinais;B4
"2177451X";SINERGIA (IFSP. ONLINE);nulo
CDH;International Conference on Digital Health;B1
"14752891";NUTRITION JOURNAL;A2
"22126716";AASRI PROCEDIA;nulo
HPCC;International Conference on High Performance Computing and Communications;A3
KESW;International Conference on Knowledge Engineering and Semantic Web;B1
"16791827";GESTÃO.ORG;nulo
ETFA;IEEE International Conference on Emerging Technologies and Factory Automation;A3
WAC;Web Audio Conference;B2
CBMS;International Symposium on Computer-Based Medical Systems;A3
GLSVLSI;Great Lakes Symposium on VLSI;A4
ICSC;International Conference on Semantic Computing;A3
"14325012";INTERNATIONAL JOURNAL ON DIGITAL LIBRARIES (PRINT);A1
IJCAR;International Joint Conference on Automated Reasoning;A3
BIGMM;IEEE International Conference on Multimedia Big Data;B2
"17562104";INTERNATIONAL JOURNAL OF FUNCTIONAL INFORMATICS AND PERSONALISED MEDICINE (PRINT);B4
"16818997";THE EMPIRICAL ECONOMICS LETTERS;nulo
"16102940";JOURNAL OF MOLECULAR MODELING (PRINT);A4
ACMMM;ACM International Conference on Multimedia;A1
"00347264";RBM. REVISTA BRASILEIRA DE MEDICINA (RIO DE JANEIRO);B4
"22271899";REVISTA CUBANA DE CIENCIAS INFORMÁTICAS;nulo
"18078095";MUNDOPM (CURITIBA);nulo
"18691994";INTERNATIONAL JOURNAL ON TRANSACTIONS ON LARGE-SCALE DATA- AND KNOWLEDGE-CENTERED SYSTEMS (TLDKS);nulo
"22388796";NOTAE PHILOSOPHICAE SCIENTIAE FORMALIS;nulo
"01291831";INTERNATIONAL JOURNAL OF MODERN PHYSICS C;A4
EVOAPPLICATIONS;European Conference on the Applications of Evolutionary Computation;A4
VCIP;IEEE International Conference on Visual Communications and Image Processing;B1
"00220396";JOURNAL OF DIFFERENTIAL EQUATIONS (PRINT);A1
WOCN;International Conference on Wireless and Optical Communications Networks;B1
HOTNETS;ACM Workshop on Hot Topics in Networks;A2
"15504832";ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS;A3
ASP-DAC;Asia and South Pacific Design Automation Conference;A2
"17460441";EXPERT OPINION ON DRUG DISCOVERY (PRINT);A2
"16786971";RAM. REVISTA DE ADMINISTRAÇÃO MACKENZIE (ONLINE);B3
SSPR;International Workshop on Structural and Syntactic Pattern Recognition;B1
ICCE-EDU;International Conference on Computers in Education;B2
"11786949";ADVANCES AND APPLICATIONS IN BIOINFORMATICS AND CHEMISTRY;A1
ICSA;Working IEEE/IFIP Conference on Software Architecture;A4
"03636119";AMERICAN JOURNAL OF PHYSIOLOGY. REGULATORY, INTEGRATIVE AND COMPARATIVE PHYSIOLOGY;A2
"02780070";IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS;A2
APNOMS;Asia-Pacific Network Operations and Management Symposium;B1
"14710684";THEORY AND PRACTICE OF LOGIC PROGRAMMING;A3
"1947928X";INTERNATIONAL JOURNAL OF NATURAL COMPUTING RESEARCH;nulo
WCAS;Workshop on Circuits and Systems Design;B1
ICCIC;International Conference on Computational Intelligence and Computing Research;A4
RuleML+RR;International Joint Conference on Rules and Reasoning;B4
ISGT;IEEE PES Innovative Smart Grid Technologies;A3
ICSME;IEEE International Conference on Software Maintenance and Evolution;A2
"10745351";INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS;A4
ICRA;IEEE International Conference on Robotics and Automation;A1
ECCTD;European Conference on Circuit Theory and Design;B2
"18650481";EARTH SCIENCE INFORMATICS (INTERNET);A2
SIED: EnPED;Simpósio Internacional de Educação a Distância e Encontro de Pesquisadores em Educação a Distância;B4
"21770425";REVISTA ELETRÔNICA DE TECNOLOGIA E CUTURA;nulo
"00189162";COMPUTER;A1
WRVA;Workshop de Realidade Virtual e Aumentada;B4
LACLO;Latin American Conference on Learning Objects and Technologies;B2
FAST;USENIX Conference on File and Storage Technologies;A1
CloudCom;IEEE International Conference on Cloud Computing Technology and Science;A2
"18674828";JOURNAL OF INTERNET SERVICES AND APPLICATIONS (JISA);A2
AMCIS;Americas Conference on Information Systems;A3
"0001706X";ACTA TROPICA;A1
"09670769";INTERNATIONAL JOURNAL OF LAW AND INFORMATION TECHNOLOGY;A2
"19326203";PLOS ONE;A1
"17516498";INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING AND APPLICATIONS (ONLINE);B4
"19324545";IEEE TRANSACTIONS ON BIOMEDICAL CIRCUITS AND SYSTEMS;A1
"09673911";POLYMERS AND POLYMER COMPOSITES;B1
SIGMOD;ACM Conference on Management Data;A1
"19833156";EDUCAÇÃO MATEMÁTICA PESQUISA (ONLINE);nulo
"03787796";ELECTRIC POWER SYSTEMS RESEARCH (PRINT);A1
AC-HCI;International Conference on Augmented Cognition;A4
"17579694";INTEGRATIVE BIOLOGY: A NEW JOURNAL OF QUANTITATIVE BIOSCIENCES FROM NANO TO MACRO;A2
SBES;Brazilian Symposium on Software Engineering;A3
ASSETS;International ACM SIGACCESS Conference on Computers and Accessibility;A3
"1947315X";INTERNATIONAL JOURNAL OF E-HEALTH AND MEDICAL COMMUNICATIONS;B2
"19492553";ONCOTARGET;A1
"2042115X";EUROPEAN JOURNAL OF LAW AND TECHNOLOGY;nulo
"10863702";IEEE COMPUTER SOCIETY;nulo
"16101928";ACUSTICA UNITED WITH ACTA ACUSTICA;A1
"19830823";REVISTA BRASILEIRA DE BIOMETRIA;nulo
"19453116";JOURNAL OF SOFTWARE ENGINEERING AND APPLICATIONS (PRINT);nulo
"19443277";STANDARDS IN GENOMIC SCIENCES;B1
"01026720";ABCD : ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA;B1
"09883754";INFORMATIQUE THÉORIQUE ET APPLICATIONS (IMPRIMÉ);B1
"21750491";NOVOS ESTUDOS JURÍDICOS (ONLINE);nulo
"10556788";OPTIMIZATION METHODS & SOFTWARE (PRINT);A3
ICCD;International Conference on Computer Design;A3
BIGDATA;IEEE International Congress on BigData;A2
"09523480";NMR IN BIOMEDICINE;A1
GeoPrivacy;Workshop on Privacy in Geographic Information Collection and Analysis;B4
"01044230";REVISTA DA ASSOCIAÇÃO MÉDICA BRASILEIRA (1992. IMPRESSO);A4
SBIE;Simpósio Brasileiro de Informática na Educação;A3
ISS;ACM International Conference on Interactive Surfaces and Spaces;B3
"21797625";ENGINEERING RESEARCH;nulo
"15189082";BOLETIM TÉCNICO DA FACULDADE DE TECNOLOGIA DE SÃO PAULO;nulo
CIKM;ACM International Conference on Information and Knowledge Management;A1
"20751729";LIFE;A2
"18071953";JICS. JOURNAL OF INTEGRATED CIRCUITS AND SYSTEMS (ED. PORTUGUÊS);B1
"17445175";COMPUTER SCIENCE EDUCATION;A1
"00985589";IEEE TRANSACTIONS ON SOFTWARE ENGINEERING;A1
"18071600";HOLOS (NATAL. ONLINE);nulo
"00037028";APPLIED SPECTROSCOPY;A2
"19366582";FLEXIBLE SERVICES AND MANUFACTURING JOURNAL;A2
"17518687";IET GENERATION, TRANSMISSION & DISTRIBUTION (PRINT);A2
"1532429X";JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE;A1
"09659978";ADVANCES IN ENGINEERING SOFTWARE;A1
"21931127";EPJ DATA SCIENCE;A1
ISECON;Information Systems Education Conference;B4
LAK;International Learning Analytics and Knowledge Conference;A2
RO-MAN;IEEE International Symposium on Robot and Human Interactive Communication;A3
"24700045";PHYSICAL REVIEW. E, STATISTICAL, NONLINEAR, AND SOFT MATTER PHYSICS (PRINT);A1
"19473532";INTERNATIONAL JOURNAL OF DISTRIBUTED SYSTEMS AND TECHNOLOGIES;A4
MEDHOCNET;Mediterranean Ad Hoc Networking Workshop;B2
"19822170";BOLETIM DE CIÊNCIAS GEODÉSICAS (ONLINE);nulo
IEEECLOUD;IEEE International Conference on Cloud Computing;A2
SACRYPT;Workshop on Selected Areas in Cryptography;A3
"01020935";ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA;B2
"03704467";REM. REVISTA ESCOLA DE MINAS (IMPRESSO);B2
"1687417X";EURASIP JOURNAL ON INFORMATION SECURITY;nulo
"14139936";PERSPECTIVAS EM CIÊNCIA DA INFORMAÇÃO (IMPRESSO);B1
"07437463";LANGMUIR;A2
PROMISE;International Conference on Predictive Models and Data Analytics in Software Engineering;B2
HPPN;Workshop on High Performance and Programmable Networking;B3
"15455963";IEEE/ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS (PRINT);A1
"03990559";RAIRO. RECHERCHE OPÉRATIONNELLE;B1
EEEWC;International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government;B4
